"","Country","Date","Recovered"
"1","Afghanistan",2020-01-01,0
"2","Afghanistan",2020-01-02,0
"3","Afghanistan",2020-01-03,0
"4","Afghanistan",2020-01-04,0
"5","Afghanistan",2020-01-05,0
"6","Afghanistan",2020-01-06,0
"7","Afghanistan",2020-01-07,0
"8","Afghanistan",2020-01-08,0
"9","Afghanistan",2020-01-09,0
"10","Afghanistan",2020-01-10,0
"11","Afghanistan",2020-01-11,0
"12","Afghanistan",2020-01-12,0
"13","Afghanistan",2020-01-13,0
"14","Afghanistan",2020-01-14,0
"15","Afghanistan",2020-01-15,0
"16","Afghanistan",2020-01-16,0
"17","Afghanistan",2020-01-17,0
"18","Afghanistan",2020-01-18,0
"19","Afghanistan",2020-01-19,0
"20","Afghanistan",2020-01-20,0
"21","Afghanistan",2020-01-21,0
"22","Afghanistan",2020-01-22,0
"23","Afghanistan",2020-01-23,0
"24","Afghanistan",2020-01-24,0
"25","Afghanistan",2020-01-25,0
"26","Afghanistan",2020-01-26,0
"27","Afghanistan",2020-01-27,0
"28","Afghanistan",2020-01-28,0
"29","Afghanistan",2020-01-29,0
"30","Afghanistan",2020-01-30,0
"31","Afghanistan",2020-01-31,0
"32","Afghanistan",2020-02-01,0
"33","Afghanistan",2020-02-02,0
"34","Afghanistan",2020-02-03,0
"35","Afghanistan",2020-02-04,0
"36","Afghanistan",2020-02-05,0
"37","Afghanistan",2020-02-06,0
"38","Afghanistan",2020-02-07,0
"39","Afghanistan",2020-02-08,0
"40","Afghanistan",2020-02-09,0
"41","Afghanistan",2020-02-10,0
"42","Afghanistan",2020-02-11,0
"43","Afghanistan",2020-02-12,0
"44","Afghanistan",2020-02-13,0
"45","Afghanistan",2020-02-14,0
"46","Afghanistan",2020-02-15,0
"47","Afghanistan",2020-02-16,0
"48","Afghanistan",2020-02-17,0
"49","Afghanistan",2020-02-18,0
"50","Afghanistan",2020-02-19,0
"51","Afghanistan",2020-02-20,0
"52","Afghanistan",2020-02-21,0
"53","Afghanistan",2020-02-22,0
"54","Afghanistan",2020-02-23,0
"55","Afghanistan",2020-02-24,0
"56","Afghanistan",2020-02-25,0
"57","Afghanistan",2020-02-26,0
"58","Afghanistan",2020-02-27,0
"59","Afghanistan",2020-02-28,0
"60","Afghanistan",2020-02-29,0
"61","Afghanistan",2020-03-01,0
"62","Afghanistan",2020-03-02,0
"63","Afghanistan",2020-03-03,0
"64","Afghanistan",2020-03-04,0
"65","Afghanistan",2020-03-05,0
"66","Afghanistan",2020-03-06,0
"67","Afghanistan",2020-03-07,0
"68","Afghanistan",2020-03-08,0
"69","Afghanistan",2020-03-09,0
"70","Afghanistan",2020-03-10,0
"71","Afghanistan",2020-03-11,0
"72","Afghanistan",2020-03-12,0
"73","Afghanistan",2020-03-13,0
"74","Afghanistan",2020-03-14,0
"75","Afghanistan",2020-03-15,0
"76","Afghanistan",2020-03-16,0
"77","Afghanistan",2020-03-17,0
"78","Afghanistan",2020-03-18,0
"79","Afghanistan",2020-03-19,0
"80","Afghanistan",2020-03-20,0
"81","Afghanistan",2020-03-21,0
"82","Afghanistan",2020-03-22,0
"83","Afghanistan",2020-03-23,0
"84","Afghanistan",2020-03-24,0
"85","Afghanistan",2020-03-25,0
"86","Afghanistan",2020-03-26,0
"87","Afghanistan",2020-03-27,0
"88","Afghanistan",2020-03-28,0
"89","Afghanistan",2020-03-29,0
"90","Afghanistan",2020-03-30,0
"91","Afghanistan",2020-03-31,0
"92","Afghanistan",2020-04-01,0
"93","Afghanistan",2020-04-02,0
"94","Afghanistan",2020-04-03,0
"95","Afghanistan",2020-04-04,0
"96","Afghanistan",2020-04-05,0
"97","Afghanistan",2020-04-06,0
"98","Afghanistan",2020-04-07,0
"99","Afghanistan",2020-04-08,0
"100","Afghanistan",2020-04-09,0
"101","Afghanistan",2020-04-10,0
"102","Afghanistan",2020-04-11,0
"103","Afghanistan",2020-04-12,0
"104","Afghanistan",2020-04-13,0
"105","Afghanistan",2020-04-14,0
"106","Afghanistan",2020-04-15,0
"107","Afghanistan",2020-04-16,0
"108","Afghanistan",2020-04-17,0
"109","Afghanistan",2020-04-18,0
"110","Afghanistan",2020-04-19,0
"111","Afghanistan",2020-04-20,0
"112","Afghanistan",2020-04-21,0
"113","Afghanistan",2020-04-22,0
"114","Afghanistan",2020-04-23,0
"115","Afghanistan",2020-04-24,0
"116","Afghanistan",2020-04-25,0
"117","Afghanistan",2020-04-26,0
"118","Afghanistan",2020-04-27,0
"119","Afghanistan",2020-04-28,0
"120","Afghanistan",2020-04-29,0
"121","Afghanistan",2020-04-30,0
